,open,high,low,close,adj_close,volume
2022-12-07,610.1,612.9,604.7,607.0,607.0,346921.0
2022-12-08,610.0,613.9,607.3,611.7,611.7,379325.0
2022-12-09,614.0,618.0,609.0,616.45,616.45,628573.0
2022-12-12,615.85,618.65,611.05,613.05,613.05,281485.0
2022-12-13,614.4,617.25,612.6,616.65,616.65,2344503.0
2022-12-14,619.4,626.5,617.35,625.55,625.55,657396.0
2022-12-15,625.0,629.65,614.0,615.5,615.5,494386.0
2022-12-16,612.8,615.5,593.6,603.3,603.3,331847.0
2022-12-19,608.3,609.45,602.9,604.95,604.95,207743.0
2022-12-20,603.5,606.6,599.45,604.6,604.6,383924.0
2022-12-21,604.65,609.15,589.7,593.4,593.4,450475.0
2022-12-22,595.2,599.05,587.5,593.35,593.35,523610.0
2022-12-23,590.0,590.45,572.0,573.95,573.95,439245.0
2022-12-26,573.6,601.75,570.7,596.75,596.75,368995.0
2022-12-27,600.9,603.1,593.35,601.85,601.85,343276.0
2022-12-28,602.0,606.95,598.85,601.2,601.2,258405.0
2022-12-29,601.2,616.35,597.35,612.3,612.3,621617.0
2022-12-30,615.7,620.5,611.5,613.2,613.2,544009.0
2023-01-02,615.0,619.25,611.5,612.25,612.25,189984.0
2023-01-03,612.55,616.65,610.05,612.35,612.35,322698.0
2023-01-04,612.35,615.0,603.8,605.25,605.25,212339.0
2023-01-05,607.9,611.5,602.05,605.2,605.2,319390.0
2023-01-06,606.1,607.45,597.0,600.6,600.6,362496.0
2023-01-09,605.95,609.0,600.5,607.85,607.85,477133.0
2023-01-10,607.85,608.8,590.7,595.15,595.15,599806.0
2023-01-11,596.0,599.4,592.35,596.55,596.55,332770.0
2023-01-12,597.8,597.8,590.3,595.0,595.0,405611.0
2023-01-13,596.6,602.7,593.7,600.05,600.05,284458.0
2023-01-16,601.15,606.0,600.7,603.0,603.0,245456.0
2023-01-17,603.4,606.0,586.2,592.95,592.95,408441.0
2023-01-18,596.85,597.1,587.85,591.4,591.4,322537.0
2023-01-19,591.5,591.5,587.8,589.9,589.9,168181.0
2023-01-20,592.0,596.5,590.5,592.1,592.1,259570.0
2023-01-23,598.15,601.5,592.5,600.45,600.45,138245.0
2023-01-24,602.45,604.6,593.0,594.35,594.35,217501.0
2023-01-25,595.05,595.85,567.3,568.8,568.8,936393.0
2023-01-27,572.15,572.15,532.35,540.2,540.2,1346646.0
2023-01-30,530.35,554.5,525.05,538.35,538.35,1702096.0
2023-01-31,545.75,556.95,538.0,553.7,553.7,1085214.0
2023-02-01,562.85,564.95,499.35,527.1,527.1,2394144.0
2023-02-02,516.8,532.7,502.55,528.0,528.0,1602831.0
2023-02-03,535.0,546.0,519.4,544.45,544.45,1735194.0
2023-02-06,554.0,558.25,536.75,545.35,545.35,1473575.0
2023-02-07,548.0,551.65,541.25,547.1,547.1,647852.0
2023-02-08,548.15,554.65,545.55,549.55,549.55,738413.0
2023-02-09,553.0,553.0,542.8,550.65,550.65,674156.0
2023-02-10,547.45,557.05,546.65,552.95,552.95,361598.0
2023-02-13,554.7,556.8,533.4,537.3,537.3,577180.0
2023-02-14,539.7,544.6,530.8,540.65,540.65,330324.0
2023-02-15,541.45,544.65,537.0,542.2,542.2,294189.0
2023-02-16,546.05,546.75,539.0,540.1,540.1,263883.0
2023-02-17,539.15,539.5,527.8,530.9,530.9,771672.0
