,Airline,Source,Destination,Total_Stops,Price,Date,Month,Year,Day_no,Arrival_hour,Arrival_min,Dep_hour,Dep_min,dur_float
72,Multiple carriers,Delhi,Cochin,1,10791,24,6,2019,0,19,0,11,40,7.333333333333333
73,Jet Airways,Delhi,Cochin,2,12819,24,6,2019,0,12,35,23,5,13.5
74,IndiGo,Delhi,Cochin,1,6893,21,3,2019,3,10,5,5,5,5.0
75,Vistara,Banglore,New Delhi,0,7240,3,9,2019,1,12,35,9,50,2.75
76,GoAir,Banglore,Delhi,0,3898,4,3,2019,0,14,30,11,40,2.8333333333333335
77,IndiGo,Mumbai,Hyderabad,0,4049,4,3,2019,0,7,55,6,25,1.5
78,Jet Airways,Delhi,Cochin,1,10262,15,6,2019,5,12,35,17,30,19.083333333333332
79,SpiceJet,Chennai,Kolkata,0,3332,21,3,2019,3,10,35,8,20,2.25
80,Jet Airways,Kolkata,Banglore,1,10844,6,9,2019,4,12,0,21,10,14.833333333333334
81,Jet Airways,Banglore,New Delhi,0,7229,24,3,2019,6,22,35,19,55,2.6666666666666665
82,Jet Airways,Kolkata,Banglore,1,13941,5,6,2019,2,4,40,6,30,22.166666666666668
83,IndiGo,Delhi,Cochin,1,5894,27,6,2019,3,21,0,11,25,9.583333333333334
84,Multiple carriers,Delhi,Cochin,1,10197,18,5,2019,5,19,0,9,0,10.0
85,Jet Airways,Banglore,New Delhi,1,13712,3,6,2019,0,11,25,14,5,21.333333333333332
86,IndiGo,Delhi,Cochin,1,5636,24,6,2019,0,7,25,2,0,5.416666666666667
87,Jet Airways,Delhi,Cochin,2,13014,6,6,2019,3,4,25,9,40,18.75
88,Jet Airways,Kolkata,Banglore,1,7064,4,1,2019,4,20,45,8,25,12.333333333333334
89,Jet Airways,Kolkata,Banglore,1,10703,24,5,2019,4,14,25,20,25,18.0
90,Multiple carriers,Delhi,Cochin,1,9646,27,5,2019,0,22,30,13,15,9.25
91,Multiple carriers,Delhi,Cochin,1,17057,3,6,2019,0,13,20,2,15,11.083333333333334
92,Jet Airways,Banglore,New Delhi,1,13817,3,12,2019,1,10,25,16,55,17.5
93,Air India,Delhi,Cochin,2,13748,3,6,2019,0,19,15,5,55,13.333333333333334
94,Air India,Kolkata,Banglore,0,4880,21,4,2019,6,23,20,20,45,2.5833333333333335
95,IndiGo,Chennai,Kolkata,0,3540,21,6,2019,4,7,40,5,15,2.4166666666666665
96,SpiceJet,Banglore,Delhi,0,3257,15,5,2019,2,8,35,5,55,2.6666666666666665
97,Jet Airways,Banglore,Delhi,0,6478,6,3,2019,2,22,50,19,50,3.0
98,Jet Airways,Mumbai,Hyderabad,0,8040,18,6,2019,1,8,30,7,5,1.4166666666666667
99,Jet Airways,Delhi,Cochin,2,14300,6,12,2019,4,12,35,20,0,16.583333333333332
100,Jet Airways,Kolkata,Banglore,1,14781,15,5,2019,2,20,45,8,25,12.333333333333334
101,Jet Airways,Kolkata,Banglore,1,14939,6,9,2019,4,8,15,20,0,12.25
102,Jet Airways,Delhi,Cochin,1,10262,24,6,2019,0,4,25,20,55,7.5
103,Air India,Kolkata,Banglore,1,6528,5,12,2019,3,14,35,14,35,24.0
104,Air India,Banglore,Delhi,0,6121,5,1,2019,5,8,55,6,10,2.75
105,Jet Airways,Delhi,Cochin,2,13029,18,5,2019,5,4,25,19,30,8.916666666666666
106,Multiple carriers,Delhi,Cochin,1,11421,27,3,2019,2,18,50,11,40,7.166666666666667
107,Multiple carriers,Delhi,Cochin,1,7574,27,3,2019,2,19,15,4,45,14.5
108,Air India,Delhi,Cochin,2,11596,5,9,2019,3,19,15,12,55,30.333333333333332
109,Jet Airways,Delhi,Cochin,2,15129,24,5,2019,4,19,0,23,5,19.916666666666668
110,Jet Airways,Banglore,New Delhi,1,13555,18,3,2019,0,5,5,14,5,15.0
111,IndiGo,Banglore,Delhi,0,5780,4,12,2019,2,21,50,18,55,2.9166666666666665
112,Vistara,Kolkata,Banglore,1,9397,5,12,2019,3,9,5,20,20,12.75
113,Jet Airways,Delhi,Cochin,1,17024,3,6,2019,0,4,25,18,15,10.166666666666666
114,GoAir,Delhi,Cochin,1,5281,27,6,2019,3,12,55,7,0,5.916666666666667
115,Multiple carriers,Delhi,Cochin,1,10348,18,5,2019,5,22,30,7,5,15.416666666666666
116,Air India,Delhi,Cochin,1,12677,3,6,2019,0,9,25,17,20,16.083333333333332
117,Multiple carriers,Delhi,Cochin,1,15147,3,3,2019,6,1,35,15,25,10.166666666666666
118,Vistara,Banglore,Delhi,0,4668,6,12,2019,4,9,40,7,0,2.6666666666666665
119,Jet Airways,Delhi,Cochin,1,15554,5,9,2019,3,19,0,7,5,11.916666666666666
120,SpiceJet,Banglore,Delhi,0,3971,4,9,2019,2,8,35,5,55,2.6666666666666665
121,Air India,Mumbai,Hyderabad,0,3100,5,3,2019,1,16,25,15,0,1.4166666666666667
122,Jet Airways,Kolkata,Banglore,1,9663,5,6,2019,2,10,5,20,0,14.083333333333334
123,Air India,Delhi,Cochin,1,27430,3,1,2019,3,19,15,23,0,20.25
124,IndiGo,Chennai,Kolkata,0,3540,5,12,2019,3,7,40,5,15,2.4166666666666665
125,Air India,Kolkata,Banglore,2,10676,21,5,2019,1,11,10,12,0,23.166666666666668
126,Jet Airways,Kolkata,Banglore,1,13044,6,12,2019,4,8,15,14,5,18.166666666666668
127,Jet Airways,Kolkata,Banglore,1,14388,5,6,2019,2,12,0,20,0,16.0
128,IndiGo,Banglore,Delhi,0,3943,24,6,2019,0,6,50,4,0,2.8333333333333335
129,IndiGo,Chennai,Kolkata,0,3597,6,3,2019,2,17,5,14,45,2.3333333333333335
130,Air India,Banglore,New Delhi,1,5932,21,3,2019,3,19,50,11,50,8.0
131,Jet Airways,Delhi,Cochin,1,10262,15,6,2019,5,4,25,11,30,16.916666666666668
132,Vistara,Delhi,Cochin,0,6216,5,12,2019,3,17,50,14,40,3.1666666666666665
133,IndiGo,Kolkata,Banglore,0,4804,15,6,2019,5,23,10,20,25,2.75
134,Multiple carriers,Delhi,Cochin,1,14067,21,5,2019,1,1,30,11,30,14.0
135,Jet Airways,Delhi,Cochin,2,15129,18,5,2019,5,19,0,19,10,23.833333333333332
136,Jet Airways,Delhi,Cochin,2,13376,6,6,2019,3,4,25,6,45,21.666666666666668
137,Air India,Delhi,Cochin,2,10441,27,6,2019,3,19,15,22,0,21.25
138,Jet Airways,Banglore,Delhi,0,4030,24,5,2019,4,8,45,6,0,2.75
139,Jet Airways,Delhi,Cochin,1,17024,3,3,2019,6,18,50,8,0,10.833333333333334
140,Multiple carriers,Delhi,Cochin,1,13017,4,9,2019,2,1,30,17,30,8.0
141,GoAir,Kolkata,Banglore,1,6686,6,6,2019,3,7,45,23,30,8.25
142,IndiGo,Delhi,Cochin,1,5636,15,6,2019,5,7,25,2,0,5.416666666666667
143,IndiGo,Delhi,Cochin,1,6442,6,9,2019,4,16,10,7,35,8.583333333333334
144,Multiple carriers,Delhi,Cochin,1,9486,21,5,2019,1,0,55,13,5,11.833333333333334
145,Jet Airways,Kolkata,Banglore,1,10844,21,5,2019,1,23,35,20,0,27.583333333333332
146,Jet Airways,Delhi,Cochin,2,15318,6,3,2019,2,4,25,20,0,8.416666666666666
147,Air India,Delhi,Cochin,1,5117,4,3,2019,0,9,25,12,30,20.916666666666668
148,IndiGo,Delhi,Cochin,1,6147,24,6,2019,0,20,0,15,10,4.833333333333333
149,Multiple carriers,Delhi,Cochin,1,7005,6,9,2019,4,21,0,12,50,8.166666666666666
150,SpiceJet,Kolkata,Banglore,0,3873,4,3,2019,0,0,40,22,20,2.3333333333333335
151,Jet Airways,Delhi,Cochin,2,9270,21,3,2019,3,18,50,18,25,24.416666666666668
152,GoAir,Banglore,Delhi,0,3898,27,6,2019,3,14,30,11,40,2.8333333333333335
153,Jet Airways,Kolkata,Banglore,1,14781,5,12,2019,3,20,45,8,25,12.333333333333334
154,Jet Airways,Kolkata,Banglore,1,8586,24,5,2019,4,8,15,20,0,12.25
155,Air India,Kolkata,Banglore,2,10697,5,9,2019,3,7,55,8,20,23.583333333333332
156,Jet Airways,Delhi,Cochin,2,14300,27,6,2019,3,12,35,20,0,16.583333333333332
157,IndiGo,Banglore,New Delhi,0,8855,3,3,2019,6,21,45,18,55,2.8333333333333335
158,Jet Airways,Kolkata,Banglore,1,10844,5,12,2019,3,18,15,16,30,25.75
159,Jet Airways,Delhi,Cochin,1,17024,3,6,2019,0,4,25,2,15,26.166666666666668
160,Jet Airways,Kolkata,Banglore,1,9314,5,1,2019,5,14,25,9,35,28.833333333333332
161,IndiGo,Banglore,New Delhi,0,4777,24,3,2019,6,3,25,0,40,2.75
162,Air India,Kolkata,Banglore,1,7662,6,9,2019,4,13,15,12,0,25.25
163,IndiGo,Delhi,Cochin,1,6442,5,9,2019,3,16,10,6,50,9.333333333333334
164,SpiceJet,Delhi,Cochin,1,5264,6,12,2019,4,13,15,8,45,4.5
165,Jet Airways,Delhi,Cochin,1,12898,27,5,2019,0,4,25,13,0,15.416666666666666
166,Air India,Mumbai,Hyderabad,0,6092,3,3,2019,6,15,25,13,55,1.5
167,SpiceJet,Banglore,Delhi,0,3311,21,5,2019,1,8,35,5,55,2.6666666666666665
168,Jet Airways,Delhi,Cochin,1,6540,27,3,2019,2,4,25,19,15,9.166666666666666
169,IndiGo,Banglore,Delhi,0,3419,27,5,2019,0,4,15,1,30,2.75
170,Jet Airways,Delhi,Cochin,1,5177,4,3,2019,0,12,35,14,0,22.583333333333332
171,Air India,Delhi,Cochin,0,8246,18,4,2019,3,21,10,18,5,3.0833333333333335
172,Jet Airways,Kolkata,Banglore,1,14676,6,9,2019,4,21,5,9,35,11.5
173,Multiple carriers,Delhi,Cochin,1,13587,27,6,2019,3,21,0,11,30,9.5
174,Jet Airways,Kolkata,Banglore,1,9663,5,6,2019,2,9,20,21,10,12.166666666666666
175,Jet Airways,Kolkata,Banglore,1,13044,6,12,2019,4,10,5,16,30,17.583333333333332
176,IndiGo,Delhi,Cochin,1,5073,4,3,2019,0,1,30,20,25,5.083333333333333
177,Vistara,Kolkata,Banglore,1,9345,21,5,2019,1,18,50,17,0,25.833333333333332
178,Jet Airways,Kolkata,Banglore,1,9663,5,6,2019,2,10,5,14,5,20.0
179,Multiple carriers,Delhi,Cochin,1,14277,21,5,2019,1,21,0,8,0,13.0
180,Jet Airways,Delhi,Cochin,1,10262,6,1,2019,6,4,25,10,0,18.416666666666668
181,Jet Airways,Mumbai,Hyderabad,0,5678,27,3,2019,2,21,5,19,35,1.5
182,Multiple carriers,Delhi,Cochin,1,13727,15,5,2019,2,1,30,16,0,9.5
183,Jet Airways,Kolkata,Banglore,1,9663,5,6,2019,2,12,0,20,0,16.0
184,IndiGo,Chennai,Kolkata,0,3858,5,12,2019,3,17,5,14,45,2.3333333333333335
185,SpiceJet,Delhi,Cochin,1,4812,24,6,2019,0,13,15,8,45,4.5
186,IndiGo,Delhi,Cochin,1,5775,27,6,2019,3,3,35,21,50,5.75
187,Jet Airways,Kolkata,Banglore,1,10539,6,6,2019,3,9,45,9,35,24.166666666666668
188,IndiGo,Kolkata,Banglore,0,4804,6,3,2019,2,18,5,15,30,2.5833333333333335
189,Air Asia,Banglore,Delhi,0,3383,6,12,2019,4,13,55,11,10,2.75
190,IndiGo,Banglore,New Delhi,1,8738,3,3,2019,6,17,5,12,10,4.916666666666667
191,Air India,Delhi,Cochin,1,7165,27,3,2019,2,6,50,5,15,25.583333333333332
192,IndiGo,Delhi,Cochin,1,6412,24,6,2019,0,22,30,16,10,6.333333333333333
193,Jet Airways,Banglore,Delhi,0,8016,27,6,2019,3,22,0,18,55,3.0833333333333335
194,Jet Airways,Banglore,New Delhi,1,11087,3,12,2019,1,15,15,20,35,18.666666666666668
195,SpiceJet,Chennai,Kolkata,0,3543,27,6,2019,3,12,0,9,45,2.25
196,Jet Airways,Kolkata,Banglore,1,12471,6,12,2019,4,4,40,16,30,12.166666666666666
197,Jet Airways,Delhi,Cochin,1,10262,24,6,2019,0,4,25,9,0,19.416666666666668
198,Air India,Banglore,New Delhi,0,4441,18,3,2019,0,16,10,13,20,2.8333333333333335
199,Multiple carriers,Delhi,Cochin,1,12537,27,3,2019,2,15,30,7,5,8.416666666666666
200,GoAir,Kolkata,Banglore,1,10091,24,3,2019,6,7,40,22,25,9.25
201,Air India,Banglore,Delhi,0,6961,6,3,2019,2,23,55,21,5,2.8333333333333335
202,IndiGo,Delhi,Cochin,0,5013,24,4,2019,2,8,50,5,35,3.25
203,Air India,Delhi,Cochin,0,6934,18,5,2019,5,8,0,5,10,2.8333333333333335
204,Multiple carriers,Delhi,Cochin,1,10877,6,3,2019,2,19,0,6,40,12.333333333333334
205,Jet Airways,Banglore,Delhi,0,7229,18,4,2019,3,18,10,15,15,2.9166666666666665
206,IndiGo,Delhi,Cochin,1,7048,27,3,2019,2,1,35,16,0,9.583333333333334
207,Vistara,Banglore,Delhi,0,4878,27,6,2019,3,19,35,17,0,2.5833333333333335
208,Jet Airways,Kolkata,Banglore,1,10844,21,5,2019,1,23,35,14,5,9.5
209,Jet Airways,Delhi,Cochin,2,15129,18,5,2019,5,4,25,23,5,29.333333333333332
210,IndiGo,Banglore,Delhi,0,3943,5,12,2019,3,3,25,0,30,2.9166666666666665
211,SpiceJet,Delhi,Cochin,1,5583,6,6,2019,3,11,20,6,5,5.25
212,Multiple carriers,Delhi,Cochin,1,9646,6,6,2019,3,16,10,7,5,9.083333333333334
213,Multiple carriers,Delhi,Cochin,1,7677,6,3,2019,2,19,15,8,30,10.75
214,IndiGo,Delhi,Cochin,1,6842,6,1,2019,6,10,5,5,10,4.916666666666667
215,Jet Airways,Mumbai,Hyderabad,0,4995,24,6,2019,0,10,15,8,45,1.5
216,Vistara,Kolkata,Banglore,1,9555,6,9,2019,4,18,50,7,10,11.666666666666666
217,IndiGo,Banglore,Delhi,0,4077,6,1,2019,6,4,15,1,30,2.75
218,Jet Airways,Banglore,Delhi,0,7229,5,12,2019,3,18,10,15,15,2.9166666666666665
219,Multiple carriers,Delhi,Cochin,1,12192,6,9,2019,4,19,0,9,0,10.0
220,Air India,Banglore,Delhi,0,5911,4,12,2019,2,12,45,10,0,2.75
221,Air India,Delhi,Cochin,1,8372,6,12,2019,4,19,15,9,0,10.25
222,Jet Airways,Mumbai,Hyderabad,0,4995,18,3,2019,0,8,35,7,10,1.4166666666666667
223,Multiple carriers,Delhi,Cochin,1,14323,5,9,2019,3,19,15,10,0,9.25
224,Jet Airways,Delhi,Cochin,2,13014,6,9,2019,4,4,25,5,30,22.916666666666668
225,Air India,Delhi,Cochin,2,13591,6,6,2019,3,19,15,14,25,28.833333333333332
226,Jet Airways,Delhi,Cochin,2,18799,3,3,2019,6,18,50,5,25,37.416666666666664
227,IndiGo,Banglore,Delhi,0,3943,27,4,2019,5,2,20,23,30,2.8333333333333335
228,SpiceJet,Mumbai,Hyderabad,0,1965,21,5,2019,1,7,15,5,45,1.5
229,Jet Airways,Mumbai,Hyderabad,0,4995,27,5,2019,0,11,50,10,20,1.5
230,Air India,Kolkata,Banglore,1,14641,24,3,2019,6,18,30,16,50,25.666666666666668
231,Air India,Kolkata,Banglore,0,4460,4,12,2019,2,23,20,20,45,2.5833333333333335
232,Air India,Delhi,Cochin,1,10191,18,5,2019,5,19,15,13,0,6.25
233,Jet Airways,Delhi,Cochin,1,13843,3,9,2019,1,19,45,2,15,17.5
234,IndiGo,Delhi,Cochin,1,6349,5,1,2019,5,3,35,21,50,5.75
235,Air Asia,Kolkata,Banglore,0,4409,5,1,2019,5,12,55,10,20,2.5833333333333335
236,Jet Airways,Delhi,Cochin,1,17024,3,6,2019,0,19,45,18,15,25.5
237,Multiple carriers,Delhi,Cochin,1,13727,18,5,2019,5,21,0,7,5,13.916666666666666
238,IndiGo,Banglore,New Delhi,0,8855,15,3,2019,4,21,20,18,25,2.9166666666666665
239,Multiple carriers,Delhi,Cochin,1,12524,24,6,2019,0,19,0,8,45,10.25
240,Jet Airways,Banglore,New Delhi,1,13555,18,3,2019,0,20,20,11,40,8.666666666666666
241,Jet Airways,Kolkata,Banglore,1,10844,6,6,2019,3,12,0,6,30,5.5
242,Multiple carriers,Delhi,Cochin,1,13587,6,9,2019,4,21,0,9,0,12.0
243,SpiceJet,Chennai,Kolkata,0,3543,6,12,2019,4,12,0,9,45,2.25
244,Vistara,Chennai,Kolkata,0,4842,18,3,2019,0,9,20,7,5,2.25
245,IndiGo,Banglore,Delhi,0,3943,24,4,2019,2,2,20,23,30,2.8333333333333335
246,Jet Airways,Delhi,Cochin,1,10577,6,9,2019,4,4,25,19,15,9.166666666666666
247,IndiGo,Delhi,Cochin,1,6979,15,5,2019,2,21,0,10,35,10.416666666666666
248,Vistara,Chennai,Kolkata,0,11982,27,6,2019,3,20,5,17,45,2.3333333333333335
249,SpiceJet,Delhi,Cochin,1,5264,6,6,2019,3,13,15,8,45,4.5
250,Vistara,Delhi,Cochin,0,8001,3,3,2019,6,9,10,6,0,3.1666666666666665
251,Air India,Delhi,Cochin,2,10651,6,1,2019,6,19,15,19,45,23.5
252,Jet Airways,Kolkata,Banglore,1,10844,24,5,2019,4,19,50,16,30,27.333333333333332
253,Multiple carriers,Delhi,Cochin,1,6601,27,3,2019,2,22,20,9,45,12.583333333333334
254,Air India,Delhi,Cochin,1,6587,21,3,2019,3,19,15,19,0,24.25
255,SpiceJet,Mumbai,Hyderabad,0,3173,21,3,2019,3,14,30,13,10,1.3333333333333333
256,Air India,Banglore,Delhi,0,5228,5,9,2019,3,12,45,10,0,2.75
257,Jet Airways,Banglore,Delhi,0,5769,21,6,2019,4,10,10,7,10,3.0
258,Jet Airways,Delhi,Cochin,1,14714,6,6,2019,3,19,0,8,0,11.0
259,Jet Airways,Delhi,Cochin,2,13014,6,3,2019,2,19,0,5,30,13.5
260,IndiGo,Banglore,Delhi,0,3359,6,3,2019,2,1,0,22,10,2.8333333333333335
261,GoAir,Banglore,New Delhi,0,6722,3,3,2019,6,23,50,20,55,2.9166666666666665
262,IndiGo,Kolkata,Banglore,0,4462,18,3,2019,0,12,20,9,35,2.75
263,IndiGo,Delhi,Cochin,1,6171,3,9,2019,1,16,10,4,55,11.25
264,Air India,Kolkata,Banglore,2,12303,21,5,2019,1,20,25,5,50,14.583333333333334
265,Multiple carriers,Delhi,Cochin,1,7695,21,3,2019,3,1,35,11,40,13.916666666666666
266,IndiGo,Delhi,Cochin,1,5684,24,6,2019,0,1,30,11,25,14.083333333333334
267,Air India,Kolkata,Banglore,1,8366,6,12,2019,4,7,55,16,50,15.083333333333334
268,Air India,Chennai,Kolkata,0,19630,3,1,2019,3,13,55,11,40,2.25
269,Jet Airways,Banglore,New Delhi,1,13502,3,6,2019,0,5,5,14,5,15.0
270,Jet Airways,Kolkata,Banglore,1,14781,5,1,2019,5,10,5,21,10,12.916666666666666
271,Multiple carriers,Delhi,Cochin,1,6513,6,12,2019,4,16,10,7,10,9.0
272,Air India,Delhi,Cochin,1,9929,6,1,2019,6,19,15,7,0,12.25
273,Multiple carriers,Delhi,Cochin,2,18275,6,6,2019,3,1,30,17,50,7.666666666666667
274,Air India,Delhi,Cochin,1,4487,4,9,2019,2,9,25,6,5,27.333333333333332
275,IndiGo,Mumbai,Hyderabad,0,2754,15,3,2019,4,22,45,21,20,1.4166666666666667
276,Air India,Mumbai,Hyderabad,0,2575,27,3,2019,2,7,40,6,20,1.3333333333333333
277,SpiceJet,Kolkata,Banglore,1,8224,6,12,2019,4,21,25,15,55,5.5
278,Air India,Delhi,Cochin,1,8991,3,9,2019,1,8,15,20,30,11.75
279,IndiGo,Delhi,Cochin,0,5000,24,6,2019,0,8,50,5,35,3.25
280,Jet Airways,Kolkata,Banglore,1,8529,6,12,2019,4,19,50,18,55,24.916666666666668
281,Air India,Delhi,Cochin,1,14042,3,3,2019,6,9,25,6,5,27.333333333333332
282,Jet Airways,Banglore,Delhi,0,4030,24,5,2019,4,14,5,11,10,2.9166666666666665
283,Jet Airways,Kolkata,Banglore,1,10844,6,6,2019,3,12,0,18,55,17.083333333333332
284,IndiGo,Kolkata,Banglore,0,4804,5,6,2019,2,0,5,21,25,2.6666666666666665
285,Multiple carriers,Delhi,Cochin,1,7308,27,5,2019,0,1,30,17,30,8.0
286,IndiGo,Banglore,Delhi,0,4823,5,12,2019,3,19,55,16,55,3.0
287,Jet Airways,Delhi,Cochin,1,10262,24,6,2019,0,12,35,9,0,27.583333333333332
288,Jet Airways,Delhi,Cochin,1,12898,27,5,2019,0,4,25,20,55,7.5
289,Air India,Banglore,New Delhi,2,12778,3,12,2019,1,16,20,17,25,22.916666666666668
290,IndiGo,Delhi,Cochin,1,14871,3,3,2019,6,13,20,4,45,8.583333333333334
291,Air India,Delhi,Cochin,2,8708,21,3,2019,3,19,15,13,20,29.916666666666668
292,Jet Airways,Kolkata,Banglore,1,10844,6,6,2019,3,18,15,20,0,22.25
